wavelength,"(743, 898)","(745, 886)","(749, 881)","(755, 879)","(750, 877)","(746, 920)","(758, 915)","(743, 908)","(744, 931)","(747, 926)"
568.652,0.562768,0.584729,0.686322,0.617009,0.677317,0.580972,0.676024,0.549229,0.65553,0.585137
570.279,0.570148,0.587721,0.684628,0.61328,0.679782,0.574622,0.679749,0.547925,0.646096,0.583237
571.906,0.56822,0.588797,0.694627,0.613257,0.685835,0.58092,0.671537,0.549937,0.652293,0.600771
573.532,0.564655,0.588148,0.69082,0.62609,0.679023,0.582023,0.68353,0.55297,0.650931,0.602611
575.159,0.577052,0.580712,0.695461,0.626141,0.686787,0.577246,0.672331,0.550579,0.662583,0.600374
576.786,0.569562,0.591975,0.695055,0.621384,0.675856,0.585045,0.667863,0.549065,0.660388,0.608393
578.412,0.574397,0.587417,0.690229,0.606314,0.672754,0.590181,0.679345,0.559362,0.659774,0.602265
580.039,0.572914,0.588587,0.6921,0.618075,0.685256,0.589685,0.677771,0.561114,0.660634,0.60934
581.666,0.585314,0.585181,0.690182,0.621485,0.688879,0.591094,0.664006,0.556255,0.667102,0.605295
583.293,0.580453,0.592475,0.701667,0.619045,0.682226,0.596911,0.666948,0.569247,0.67976,0.605468
584.919,0.578443,0.59859,0.699626,0.621145,0.673415,0.602103,0.670718,0.563165,0.666309,0.606302
586.546,0.580655,0.597592,0.691387,0.626671,0.701721,0.599006,0.672152,0.569756,0.670786,0.608703
588.173,0.595778,0.610325,0.707272,0.626261,0.695916,0.607255,0.674465,0.587159,0.676185,0.6126
589.8,0.583714,0.608418,0.706102,0.620846,0.700557,0.612996,0.685278,0.576715,0.675999,0.617676
591.426,0.60457,0.611926,0.711732,0.631054,0.708691,0.611773,0.685384,0.572606,0.684399,0.617482
593.053,0.60102,0.627466,0.711983,0.631837,0.703832,0.610002,0.693895,0.584905,0.693302,0.619849
594.68,0.601201,0.617432,0.71475,0.62992,0.698284,0.616507,0.694591,0.580406,0.696018,0.621171
596.307,0.601939,0.616019,0.718221,0.644034,0.708314,0.621336,0.696895,0.588934,0.692677,0.631604
597.933,0.610379,0.62965,0.728376,0.640475,0.720764,0.620216,0.720621,0.594916,0.689843,0.629375
599.56,0.600649,0.642032,0.73595,0.644923,0.721221,0.62599,0.711538,0.595828,0.693976,0.626547
601.187,0.614911,0.630454,0.726365,0.637921,0.716842,0.626679,0.722744,0.591265,0.702458,0.6313
602.814,0.613779,0.633009,0.736883,0.655371,0.724737,0.63467,0.719612,0.595596,0.704808,0.62522
604.44,0.61262,0.635721,0.734964,0.651022,0.730375,0.638671,0.722129,0.602802,0.710028,0.639107
606.067,0.609305,0.641636,0.739419,0.654424,0.724931,0.639779,0.735847,0.608715,0.699272,0.641514
607.694,0.609092,0.643252,0.728686,0.660888,0.734058,0.629311,0.734683,0.596228,0.70696,0.633303
609.321,0.610183,0.625694,0.735889,0.657444,0.724929,0.632118,0.717456,0.601853,0.711802,0.627154
610.947,0.621935,0.639299,0.733435,0.649419,0.723434,0.628859,0.72194,0.605811,0.708389,0.629602
612.574,0.622613,0.641788,0.74584,0.658255,0.727497,0.638948,0.717775,0.601287,0.722933,0.643703
614.201,0.618759,0.639593,0.751112,0.668378,0.735562,0.639929,0.717298,0.613817,0.713884,0.644233
615.828,0.629648,0.646218,0.745855,0.669289,0.737543,0.648103,0.734883,0.617203,0.720145,0.640615
617.454,0.629904,0.664046,0.757577,0.6603,0.749351,0.647651,0.740914,0.618734,0.731042,0.657098
619.081,0.637929,0.644198,0.751983,0.673879,0.73914,0.64576,0.749628,0.621672,0.739816,0.648492
620.708,0.636242,0.657443,0.745777,0.676055,0.751545,0.643807,0.741417,0.625366,0.740514,0.648836
622.334,0.63461,0.664687,0.763365,0.677758,0.752178,0.645687,0.748386,0.627837,0.736424,0.649395
623.961,0.635964,0.66779,0.760286,0.670483,0.749933,0.656807,0.749974,0.61991,0.740837,0.653456
625.588,0.640895,0.667093,0.766759,0.67734,0.749328,0.653717,0.763431,0.630152,0.754409,0.659368
627.215,0.642456,0.665656,0.771684,0.682043,0.756181,0.663338,0.765612,0.633912,0.741811,0.651614
628.841,0.648396,0.673593,0.784194,0.686638,0.762192,0.665116,0.752018,0.626484,0.743479,0.653505
630.468,0.64737,0.659778,0.758686,0.682171,0.759942,0.66522,0.754468,0.64567,0.761658,0.655981
632.095,0.649793,0.660003,0.785745,0.672877,0.752198,0.673375,0.760461,0.636405,0.756169,0.659978
633.722,0.655215,0.673363,0.782051,0.69266,0.76616,0.669484,0.759062,0.628343,0.758339,0.664541
